bigram,bigram_tag,bigram_lemma,bigram_lemma_tag,w1_freq,w2_freq,bigram_freq,tp_b,tp_d,log_lklhd,dice,moddice,t_score,z_score,mi_score,mi3_score,g_score,delta_p12,delta_p21,w1_freq_lemma,w2_freq_lemma,bigram_freq_lemma,tp_b_lemma,tp_d_lemma,log_lklhd_lemma,dice_lemma,moddice_lemma,t_score_lemma,z_score_lemma,mi_score_lemma,mi3_score_lemma,g_score_lemma,delta_p12_lemma,delta_p21_lemma,W1,W2,log_bigram_freq,Participle,SemanticSim,Plural,W1_lemma,W2_lemma,ItemID
reluctant readers,reluctant_jj readers_nn2,reluctant reader,reluctant_j reader_n,7191,17396,26,0.00149,0.003615631,79.79859543,0.002114939,-4.184728657,48.33549064,48.3349116,6.521169501,15.92204894,-2.037798688,0.001478382,0.003576323,7385,35244,43,0.00122,0.005822613,123.5398779,0.002017406,-3.527018083,55.26209237,55.26028921,6.189966969,17.04249648,-1.432456158,0.00120345,0.005742955,reluctant,readers,3.258096538,1,1,2,reluctant_j,reader_n,113_reluctant_reader_01
reluctant witness,reluctant_jj witness_nn1,reluctant witness,reluctant_j witness_n,7191,8428,28,0.00332,0.003893756,105.2443533,0.003585377,-3.316304624,75.23764373,75.23753137,7.6735781,17.28828794,-2.228953559,0.00330605,0.003874747,7385,20166,40,0.00198,0.005416385,131.6295662,0.002903706,-3.105960874,68.32298766,68.32197314,6.891083032,17.53493922,-1.558323985,0.001966915,0.005370841,reluctant,witness,3.33220451,1,1,1,reluctant_j,witness_n,114_reluctant_witness_02
ridiculous assertion,ridiculous_jj assertion_nn1,ridiculous assertion,ridiculous_j assertion_n,7163,3255,7,0.00215,9.77E-04,23.69406605,0.001343828,-6.732080878,30.2451506,30.24528265,7.051739338,12.66644918,-4.557219513,0.002134344,9.70E-04,7503,4792,9,0.00188,0.00119952,29.05401611,0.00146401,-6.245934112,31.26721268,31.2673055,6.789435437,13.12928544,-3.795474963,0.001861172,0.001188697,ridiculous,assertion,1.945910149,2,1,1,ridiculous_j,assertion_n,115_ridiculous_assertion_01
ridiculous prices,ridiculous_jj prices_nn2,ridiculous price,ridiculous_j price_n,7163,34104,6,1.76E-04,8.38E-04,7.697805405,2.91E-04,-9.16277594,7.326385103,7.326104391,3.440135405,8.610060406,-4.741117971,1.60E-04,7.60E-04,7503,95843,13,1.36E-04,0.00173264,13.59436321,2.52E-04,-8.256243589,8.915242156,8.914074311,2.9979769,10.39885634,-3.640815491,1.19E-04,0.001515782,ridiculous,prices,1.791759469,2,1,2,ridiculous_j,price_n,116_ridiculous_price_02
rightful authority,rightful_jj authority_nn1,rightful authority,rightful_j authority_n,934,26288,5,1.90E-04,0.005353319,15.25909424,3.67E-04,-9.088629255,20.97641563,20.97579985,6.491707061,11.13556325,-4.679243371,1.88E-04,0.005293843,954,51635,5,9.68E-05,0.00524109,12.28308392,1.90E-04,-10.03861725,14.6419343,14.64105564,5.487195424,10.13105161,-4.805926847,9.47E-05,0.005124256,rightful,authority,1.609437912,1,1,1,rightful_j,authority_n,117_rightful_authority_01
rightful owner,rightful_jj owner_nn1,rightful owner,rightful_j owner_n,934,22096,62,0.00281,0.066381156,335.3491354,0.005384281,-1.58283417,286.6821487,286.6752735,10.37459444,22.28298706,0.114981209,0.002803964,0.066331295,954,43188,125,0.00289,0.131027254,680.9325171,0.00566354,-0.498295807,409.0691331,409.0495551,10.38877041,24.32033898,1.439146413,0.002892446,0.130929806,rightful,owner,4.127134385,1,1,1,rightful_j,owner_n,118_rightful_owner_02
scented candles,scented_jjvvn candles_nn2,scented candle,scented_j candle_n,105,4067,5,0.00123,0.047619048,32.904006,0.002396932,-6.382667253,160.8128721,160.8121509,12.33710777,16.98096396,-4.316399802,0.001229181,0.047609856,603,7852,75,0.00955,0.124378109,516.1710157,0.017740982,0.412048342,724.4641484,724.4582046,12.77313451,25.23077189,0.894025391,0.009550512,0.124360511,scented,candles,1.609437912,3,1,2,scented_j,candle_n,119_scented_candle_01
scented lotions,scented_jj lotions_nn2,scented lotion,scented_j lotion_n,452,375,5,0.0133,0.011061947,36.8619051,0.012091898,-4.047887329,255.2808982,255.2809204,13.67017682,18.31403301,-3.985450474,0.013332322,0.01106111,603,1766,12,0.0068,0.019900498,78.45181847,0.010130857,-3.040137482,244.4029831,244.4026613,12.28185315,19.45177815,-2.191981505,0.00679368,0.019896528,scented,lotions,1.609437912,3,1,2,scented_j,lotion_n,120_scented_lotion_02
senior management,senior_jj management_nn1,senior management,senior_j management_n,32096,39190,314,0.00801,0.009783151,1014.901418,0.008809584,1.467910348,184.428592,184.4269626,6.785491377,23.37473287,3.753993514,0.007940322,0.009695171,40941,49414,334,0.00676,0.008158081,960.5095549,0.007393061,1.304091767,153.9624659,153.9607513,6.188987818,22.9563964,3.515234553,0.006667318,0.008047007,senior,management,5.749392986,1,2,1,senior_j,management_n,121_senior_management_01
senior staff,senior_jj staff_nn,senior staff,senior_j staff_n,32096,43428,375,0.00863,0.011683699,1236.641783,0.009930618,1.896846015,209.3721949,209.3693364,6.893477473,23.99497104,3.783233261,0.008563193,0.011586267,40941,55332,403,0.00728,0.009843433,1185.11755,0.008372025,1.75442843,175.7293637,175.7262196,6.296725328,23.60599738,3.586533888,0.007191563,0.009719122,senior,staff,5.926926026,1,2,1,senior_j,staff_n,122_senior_staff_02
sentimental feelings,sentimental_jj feelings_nn2,sentimental feeling,sentimental_j feeling_n,2119,21600,8,3.70E-04,0.003775366,23.36071491,6.75E-04,-7.533755566,24.53605215,24.5354956,6.271262907,12.27126291,-3.757400516,3.66E-04,0.003726505,2230,50071,11,2.20E-04,0.004932735,26.74288559,4.21E-04,-7.755687673,21.38067431,21.37945999,5.444090447,12.36295368,-3.319571238,2.15E-04,0.004819454,sentimental,feelings,2.079441542,2,1,2,sentimental_j,feeling_n,123_sentimental_feeling_01
sentimental love,sentimental_jj love_nn1,sentimental love,sentimental_j love_n,2119,56000,7,1.25E-04,0.003303445,13.9883337,2.41E-04,-9.212012415,12.99024006,12.98938243,4.704222314,10.31893216,-4.472026728,1.20E-04,0.003176737,2230,73272,7,9.55E-05,0.003139013,12.1305027,1.85E-04,-9.589517396,10.90372362,10.9027463,4.242727023,9.857436867,-4.561578606,9.05E-05,0.002973221,sentimental,love,1.945910149,2,1,1,sentimental_j,love_n,124_sentimental_love_02
shady bench,shady_jj bench_nn1,shady bench,shady_j bench_n,1381,10146,8,7.88E-04,0.005792904,31.53250694,0.001388045,-6.492729468,44.74943005,44.74898217,7.979053422,13.97905342,-3.709795634,7.85E-04,0.005769962,1787,12584,9,7.15E-04,0.005036374,32.70654011,0.001252522,-6.471022831,39.67115314,39.67066208,7.466472598,13.8063226,-3.292477506,7.11E-04,0.005007918,shady,bench,2.079441542,2,1,1,shady_j,bench_n,125_shady_bench_01
shady corner,shady_jj corner_nn1,shady corner,shady_j corner_n,1381,29945,7,2.34E-04,0.005068791,20.25166035,4.47E-04,-8.3203631,22.57669905,22.57594866,6.225004277,11.83971412,-4.619442966,2.31E-04,0.005001044,1787,38306,15,3.92E-04,0.008393956,46.74290943,7.48E-04,-6.477281561,37.71845191,37.71685925,6.597458384,14.41123958,-2.862191889,3.88E-04,0.008307307,shady,corner,1.945910149,2,1,1,shady_j,corner_n,126_shady_corner_02
shared membership,shared_jj membership_nn1,shared membership,shared_j membership_n,6228,9538,5,5.24E-04,8.03E-04,11.48151398,6.34E-04,-8.300672869,13.270824,13.27076638,5.217078269,9.860934459,-3.840863624,5.10E-04,7.81E-04,7980,10984,6,5.46E-04,7.52E-04,12.73256397,6.33E-04,-8.041050676,13.02675846,13.02670312,4.91884803,10.08877303,-3.498208814,5.28E-04,7.27E-04,shared,membership,1.609437912,1,1,1,shared_j,membership_n,127_shared_membership_01
shared vision,shared_jjvvn vision_nn1,shared vision,shared_j vision_n,476,29123,5,1.72E-04,0.010504202,17.73187542,3.38E-04,-9.209404625,28.0531502,28.05222923,7.316413446,11.96026964,-4.415365906,1.71E-04,0.01043831,7980,35068,188,0.00536,0.023558897,769.3057013,0.008734436,0.715519112,235.4518152,235.4445357,8.213722759,23.32290046,2.939454329,0.005343379,0.023479966,shared,vision,1.609437912,1,1,1,shared_j,vision_n,128_shared_vision_02
silky dress,silky_jj dress_nn1,silky dress,silky_j dress_n,1200,15585,7,4.49E-04,0.005833333,25.03514385,8.34E-04,-7.420175072,33.8210316,33.82047387,7.369840168,12.98455001,-3.864624034,4.46E-04,0.005798082,1369,24338,8,3.29E-04,0.005843682,25.54961586,6.22E-04,-7.649873637,28.860232,28.85946683,6.729344742,12.72934474,-3.500375987,3.26E-04,0.005788625,silky,dress,1.945910149,2,1,1,silky_j,dress_n,129_silky_dress_01
silky ears,silky_jj ears_nn2,silky ear,silky_j ear_n,1200,14710,6,4.08E-04,0.005,20.95737267,7.54E-04,-7.787721214,29.8208351,29.8203726,7.230808655,12.40073366,-4.692119764,4.05E-04,0.004966726,1369,31830,7,2.20E-04,0.005113221,19.93798733,4.22E-04,-8.404142322,21.97774893,21.97696883,6.149523125,11.76423297,-4.548120606,2.17E-04,0.005041209,silky,ears,1.791759469,2,1,2,silky_j,ear_n,130_silky_ear_02
sizeable chunk,sizeable_jj chunk_nn1,sizeable chunk,sizeable_j chunk_n,490,2922,14,0.00479,0.028571429,89.84342194,0.008206331,-3.121692087,245.8984854,245.8978084,12.07715099,19.69186084,-2.604745185,0.004790162,0.028564848,497,6412,15,0.00234,0.030181087,86.73332977,0.004342162,-3.940480005,176.5525322,176.5513494,11.02240431,18.83618551,-2.02900968,0.002338273,0.030166611,sizeable,chunk,2.63905733,2,2,1,sizeable_j,chunk_n,131_sizeable_chunk_01
sizeable portion,sizeable_jj portion_nn1,sizeable portion,sizeable_j portion_n,490,12465,15,0.0012,0.030612245,78.25819588,0.002315708,-4.847440204,127.4715312,127.4698008,10.08383187,17.89761306,-2.339583272,0.001202295,0.030584072,497,16954,16,9.44E-04,0.032193159,79.9136734,0.001833706,-5.09102209,115.7322281,115.7300678,9.712734358,17.71273436,-2.016411135,9.43E-04,0.03215483,sizeable,portion,2.708050201,2,2,1,sizeable_j,portion_n,132_sizeable_portion_02
specific instructions,specific_jj instructions_nn2,specific instruction,specific_j instruction_n,44335,9056,118,0.013,0.002661554,397.884038,0.004420221,-0.939022851,122.8429094,122.8477939,7.021000822,20.78628692,2.423012282,0.012929974,0.002641326,45985,27980,161,0.00575,0.003501142,424.4589567,0.00435341,-0.512721377,92.64768053,92.64946037,5.789107287,20.45094104,2.616940944,0.005650408,0.003438183,specific,instructions,4.770684624,1,1,2,specific_j,instruction_n,133_specific_instruction_01
specific tasks,specific_jj tasks_nn2,specific task,specific_j task_n,44335,11761,149,0.0127,0.003360776,498.8256187,0.005312322,-0.33727324,136.0831619,136.088149,6.980461424,21.41879846,3.02265018,0.012568999,0.003334496,45985,43620,238,0.00546,0.005175601,616.8112888,0.005312204,0.338343909,109.5796047,109.5796882,5.712414365,21.50204989,3.318440181,0.005352681,0.005077421,specific,tasks,5.003946306,1,1,2,specific_j,task_n,134_specific_task_02
spectacular scenery,spectacular_jj scenery_nn1,spectacular scenery,spectacular_j scenery_n,6484,2269,73,0.0322,0.011258482,425.7928944,0.016679995,0.284087263,399.9009934,399.9028996,11.09848976,23.47813888,1.11604629,0.032158256,0.011253513,6806,2336,76,0.0325,0.011166618,440.8395853,0.016626559,0.337560923,400.4903398,400.4923644,11.04468599,23.54054102,1.336553687,0.032519017,0.011161503,spectacular,scenery,4.290459441,1,1,1,spectacular_j,scenery_n,135_spectacular_scenery_01
spectacular success,spectacular_jj success_nn1,spectacular success,spectacular_j success_n,6484,48722,69,0.00142,0.010641579,214.9200668,0.002499728,-2.535488539,80.76226353,80.75831056,6.592744817,18.80979373,0.513978968,0.00140168,0.01053148,6806,55081,76,0.00138,0.011166618,231.8728333,0.002456089,-2.421493741,81.59401124,81.58943958,6.485243417,18.98109844,0.65179318,0.001364555,0.011042144,spectacular,success,4.234106505,1,1,1,spectacular_j,success_n,136_spectacular_success_02
spindly limbs,spindly_jj limbs_nn2,spindly limb,spindly_j limb_n,508,4615,9,0.00195,0.017716535,50.39622879,0.003513566,-4.982923174,123.4909711,123.4903965,10.72829985,17.06814986,-3.28838312,0.001949033,0.017706112,514,8691,10,0.00115,0.019455253,51.31875801,0.002172732,-5.524345816,99.35982246,99.35890121,9.950171547,16.59402774,-3.217125467,0.001149475,0.019435609,spindly,limbs,2.197224577,1,1,2,spindly_j,limb_n,137_spindly_limb_01
spindly tree,spindly_jj tree_nn1,spindly tree,spindly_j tree_n,508,31083,8,2.57E-04,0.015748031,30.73831081,5.06E-04,-7.947225985,42.13267613,42.13120526,7.806651651,13.80665165,-3.999747416,2.56E-04,0.015677712,514,72964,22,3.02E-04,0.042801556,87.58147049,5.99E-04,-6.2461615,75.2271688,75.22095378,8.018084338,16.93694758,-2.138538833,3.00E-04,0.042636495,spindly,tree,2.079441542,1,1,1,spindly_j,tree_n,138_spindly_tree_02
striped cloth,striped_jj cloth_nn1,striped cloth,striped_j cloth_n,2131,8028,7,8.72E-04,0.003284843,25.56737804,0.001378088,-6.695760933,35.38022659,35.37998695,7.498389614,13.11309946,-3.436962047,8.67E-04,0.003266692,2470,9005,7,7.77E-04,0.002834008,23.97993088,0.001220044,-6.871496689,30.97705883,30.97682521,7.119723506,12.73443335,-3.356658148,7.72E-04,0.002813646,striped,cloth,1.945910149,1,1,1,striped_j,cloth_n,139_striped_cloth_01
striped stockings,striped_jj stockings_nn2,striped stocking,striped_j stocking_n,2131,1347,6,0.00445,0.00281558,30.39943695,0.003450259,-5.594117216,74.36554932,74.36561504,9.851287958,15.02121296,-3.393264001,0.004449534,0.002812545,2470,2290,6,0.00262,0.00242915,26.86411762,0.002521008,-6.046820857,52.920514,52.92052419,8.872709762,14.04263476,-3.541879076,0.002614512,0.002423981,striped,stockings,1.791759469,1,1,2,striped_j,stocking_n,140_striped_stocking_02
structural explanations,structural_jj explanations_nn2,structural explanation,structural_j explanation_n,7876,4662,25,0.00536,0.0031742,102.3694096,0.003987877,-3.326307235,86.44137987,86.44169119,8.233049976,17.52076236,-0.529356847,0.005344739,0.003163707,8567,18833,37,0.00196,0.004318898,116.7066383,0.00270073,-3.322981541,60.62996568,60.62923568,6.663078252,17.08198498,-0.519054278,0.001945333,0.004276364,structural,explanations,3.218875825,2,1,2,structural_j,explanation_n,141_structural_explanation_01
structural forces,structural_jj forces_nn2,structural force,structural_j force_n,7876,42373,31,7.32E-04,0.003936008,73.81417465,0.001233855,-4.708414644,34.80324515,34.80180336,5.359265731,15.26765835,-0.758929908,7.14E-04,0.00384019,8567,115519,31,2.68E-04,0.003618536,45.81921482,5.00E-04,-6.012588206,19.21860961,19.21589256,3.791025775,13.6994184,-1.276644824,2.49E-04,0.003357192,structural,forces,3.433987204,2,1,2,structural_j,force_n,142_structural_force_02
sudden gust,sudden_jj gust_nn1,sudden gust,sudden_j gust_n,11744,760,67,0.0882,0.005705041,416.4151163,0.010716571,-0.477923682,471.2979261,471.3037833,11.6957718,23.82795018,1.211542875,0.088131471,0.005703473,12181,1716,80,0.0466,0.006567605,448.9416294,0.011513276,-0.118629666,367.6203132,367.6246653,10.72392377,23.36777996,1.437608897,0.046592663,0.006563903,sudden,gust,4.204692619,2,1,1,sudden_j,gust_n,143_sudden_gust_01
sudden surge,sudden_jj surge_nn1,sudden surge,sudden_j surge_n,11744,4539,82,0.0181,0.006982289,394.283145,0.010071854,-0.275974898,235.7506402,235.7525586,9.40893145,22.12403546,1.172187308,0.018039263,0.006972203,12181,5744,87,0.0151,0.007142271,402.1650715,0.009707113,-0.243798507,218.245833,218.2474174,9.101932977,21.98781997,1.438665909,0.015118872,0.007129469,sudden,surge,4.406719247,2,1,1,sudden_j,surge_n,144_sudden_surge_02
suitable choice,suitable_jj choice_nn1,suitable choice,suitable_j choice_n,5578,42812,8,1.87E-04,0.001434206,12.25163269,3.31E-04,-8.562421319,10.14752945,10.14703072,3.887914639,9.887914639,-4.349826022,1.74E-04,0.001337343,5687,65562,10,1.53E-04,0.001758396,13.52987766,2.81E-04,-8.476725955,9.968216423,9.967404808,3.567078232,10.21093442,-3.784648619,1.40E-04,0.001610056,suitable,choice,2.079441542,1,1,1,suitable_j,choice_n,145_suitable_choice_01
suitable framework,suitable_jj framework_nn1,suitable framework,suitable_j framework_n,5578,10852,7,6.45E-04,0.00125493,17.96260834,8.52E-04,-7.389335016,18.54332614,18.5432064,5.675323842,11.29003369,-3.880906912,6.32E-04,0.001230389,5687,13317,7,5.26E-04,0.001230877,16.62979984,7.37E-04,-7.599305647,16.49509048,16.49493561,5.35209581,10.96680565,-3.758030511,5.13E-04,0.001200758,suitable,framework,1.945910149,1,1,1,suitable_j,framework_n,146_suitable_framework_02
troubling issue,troubling_jj issue_nn1,troubling issue,troubling_j issue_n,1643,82777,22,2.66E-04,0.01339014,62.87095928,5.21E-04,-6.446433972,39.10184331,39.09814969,6.159546982,15.07841022,-1.753980459,2.62E-04,0.013202872,2602,170435,45,2.64E-04,0.017294389,110.7662849,5.20E-04,-5.41701484,43.91887579,43.91014857,5.486760213,16.47046641,-0.485391175,2.58E-04,0.01690881,troubling,issue,3.091042453,2,1,1,troubling_j,issue_n,147_troubling_issue_01
troubling signs,troubling_jj signs_nn2,troubling sign,troubling_j sign_n,1643,21281,19,8.93E-04,0.011564212,74.12520885,0.001657651,-4.988716154,67.26559277,67.2640846,7.907706895,16.40356192,-1.351384363,8.89E-04,0.011516098,2602,54270,58,0.00107,0.022290546,212.5172491,0.002039668,-3.079468929,102.0379188,102.0318841,7.503882931,19.21984492,0.11706078,0.001062973,0.022167868,troubling,signs,2.944438979,2,1,2,troubling_j,sign_n,148_troubling_sign_02
uncanny gift,uncanny_jj gift_nn1,uncanny gift,uncanny_j gift_n,1276,18243,10,5.48E-04,0.007836991,36.96370888,0.001024643,-6.608735332,43.34103464,43.34019312,7.568634577,14.21249077,-3.300662809,5.45E-04,0.007795731,1317,30334,10,3.30E-04,0.007593014,32.30285835,6.32E-04,-7.306107271,32.95829608,32.95719335,6.789414804,13.43327099,-3.262357883,3.27E-04,0.007524394,uncanny,gift,2.302585093,2,1,1,uncanny_j,gift_n,149_uncanny_gift_01
uncanny precision,uncanny_jj precision_nn1,uncanny precision,uncanny_j precision_n,1276,4301,8,0.00186,0.006269592,38.03432751,0.002868926,-5.445273556,71.67565976,71.67541335,9.331305441,15.33130544,-3.408350356,0.001857163,0.006259878,1317,4669,8,0.00171,0.006074412,37.24419689,0.002672903,-5.547376563,67.70108026,67.70082225,9.167236967,15.16723697,-3.274289358,0.001710467,0.006063864,uncanny,precision,2.079441542,2,1,1,uncanny_j,precision_n,150_uncanny_precision_02
